=== OUVERTURE V11.1 - TEMPS CUMULE ===

Mon Aug 10 14:15:18 2026    C:\Users\PC\projet\cache\profil_ouverture_v11.prof

         2062595 function calls (2012643 primitive calls) in 118.180 seconds

   Ordered by: cumulative time
   List reduced from 1950 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    56540    0.033    0.000    0.033    0.000 {method 'splitlist' of '_tkinter.tkapp' objects}
      494    0.005    0.000    0.027    0.000 ctk_base_class.py:305(grid)
       13    0.000    0.000    0.023    0.002 ctk_button.py:530(_on_leave)
        4    0.000    0.000    0.023    0.006 ctk_button.py:154(_set_dimensions)
      100    0.002    0.000    0.020    0.000 ctk_button.py:288(_create_grid)
        2    0.000    0.000    0.020    0.010 mockup_view.py:10230(_update_history_buttons)
      314    0.002    0.000    0.018    0.000 ctk_label.py:169(_create_grid)
       22    0.001    0.000    0.015    0.001 mockup_view.py:2506(_draw_canvas_group_card)
        1    0.000    0.000    0.014    0.014 document_view.py:1(<module>)
     7360    0.014    0.000    0.014    0.000 {method 'getboolean' of '_tkinter.tkapp' objects}
       13    0.000    0.000    0.013    0.001 ctk_button.py:509(_on_enter)
        8    0.000    0.000    0.012    0.002 ctk_progressbar.py:232(set)
        2    0.000    0.000    0.012    0.006 mockup_view.py:2594(_draw_canvas_ribbon)
        8    0.000    0.000    0.011    0.001 ctk_progressbar.py:111(destroy)
 1402/754    0.007    0.000    0.010    0.000 ctk_base_class.py:190(_detect_color_of_master)
      172    0.002    0.000    0.008    0.000 ctk_base_class.py:281(pack)
      114    0.000    0.000    0.008    0.000 ctk_button.py:495(_set_cursor)
      156    0.000    0.000    0.008    0.000 ctk_label.py:307(bind)
       22    0.000    0.000    0.007    0.000 document_view.py:1049(draw_item)
        1    0.000    0.000    0.007    0.007 ctk_tk.py:240(_windows_set_titlebar_icon)
        1    0.000    0.000    0.007    0.007 ctk_tk.py:236(iconbitmap)
     9558    0.006    0.000    0.006    0.000 ctk_canvas.py:67(_get_char_from_radius)
      664    0.004    0.000    0.006    0.000 mockup_view.py:11010(_definition_for)
