=== TOP 120 - TEMPS CUMULÉ ===

Mon Aug 10 13:58:40 2026    C:\Users\PC\projet\cache\pagemaitre_affichage.prof

         1137972 function calls (1109293 primitive calls) in 16.584 seconds

   Ordered by: cumulative time
   List reduced from 1948 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11871    0.020    0.000    0.112    0.000 __init__.py:3047(find)
     7032    0.020    0.000    0.313    0.000 __init__.py:2978(coords)
     2947    0.019    0.000    0.490    0.000 __init__.py:2985(_create)
2769/2401    0.018    0.000    0.028    0.000 {built-in method __new__ of type object at 0x00007FF9D7B5B8A0}
    41780    0.018    0.000    0.027    0.000 __init__.py:1730(<genexpr>)
      847    0.018    0.000    0.122    0.000 {built-in method builtins.__build_class__}
       24    0.017    0.001    0.020    0.001 {built-in method nt.mkdir}
      404    0.017    0.000    0.045    0.000 typing.py:3165(__new__)
    22669    0.017    0.000    0.017    0.000 {method 'update' of 'dict' objects}
       15    0.017    0.001    0.017    0.001 {built-in method builtins.eval}
       23    0.016    0.001    0.016    0.001 {method 'copy' of 'ImagingCore' objects}
       63    0.015    0.000    0.015    0.000 {method 'convert2' of 'ImagingCore' objects}
     2543    0.015    0.000    0.043    0.000 {built-in method builtins.any}
      261    0.013    0.000    0.015    0.000 {method 'read' of '_io.TextIOWrapper' objects}
    32422    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
   1064/5    0.013    0.000    0.704    0.141 __init__.py:2796(destroy)
      402    0.013    0.000    0.143    0.000 ctk_base_class.py:32(__init__)
       11    0.012    0.001    0.012    0.001 {method 'crop' of 'ImagingCore' objects}
     7015    0.012    0.000    0.056    0.000 __init__.py:3089(gettags)
      181    0.011    0.000    0.518    0.003 ctk_label.py:25(__init__)
     7641    0.011    0.000    0.835    0.000 __init__.py:3113(itemconfigure)
     1412    0.011    0.000    0.035    0.000 ctk_tk.py:101(_update_dimensions_event)
      206    0.011    0.000    0.011    0.000 {built-in method winreg.QueryValueEx}
    11871    0.010    0.000    0.122    0.000 __init__.py:3081(find_withtag)
25161/24769    0.010    0.000    0.010    0.000 {built-in method builtins.len}
       42    0.010    0.000    0.010    0.000 {built-in method nt.listdir}
    37982    0.010    0.000    0.010    0.000 {built-in method builtins.callable}
     1052    0.010    0.000    1.024    0.001 __init__.py:2779(__init__)
      232    0.010    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:779(_compile_bytecode)
        3    0.009    0.003    0.511    0.170 dashboard_view.py:1930(_compose_background)
    12244    0.009    0.000    0.010    0.000 {method 'join' of 'str' objects}
      488    0.009    0.000    0.310    0.001 ctk_label.py:176(_draw)
       44    0.009    0.000    0.556    0.013 document_view.py:2458(draw_page)
    17924    0.009    0.000    0.009    0.000 {method 'items' of 'dict' objects}
     1538    0.009    0.000    0.328    0.000 ctk_canvas.py:73(create_aa_circle)
     1028    0.008    0.000    1.490    0.001 draw_engine.py:97(draw_rounded_rect_with_border)
     7006    0.008    0.000    0.010    0.000 scaling_base_class.py:65(_apply_widget_scaling)
     1052    0.008    0.000    0.011    0.000 __init__.py:2747(_setup)
     4178    0.008    0.000    0.008    0.000 {method 'getboolean' of '_tkinter.tkapp' objects}
     1572    0.008    0.000    0.008    0.000 {method 'createcommand' of '_tkinter.tkapp' objects}
     1225    0.008    0.000    0.013    0.000 scaling_tracker.py:39(get_window_root_of_widget)
      433    0.008    0.000    1.165    0.003 ctk_frame.py:94(_draw)
       80    0.008    0.000    0.008    0.000 {method 'draw_rectangle' of 'ImagingDraw' objects}
     1572    0.008    0.000    0.008    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
       71    0.007    0.000    0.013    0.000 scaling_tracker.py:150(get_window_dpi_scaling)
      206    0.007    0.000    0.054    0.000 appearance_mode_tracker.py:45(detect_appearance_mode)
       96    0.007    0.000    0.007    0.000 {method 'draw_pieslice' of 'ImagingDraw' objects}
     2730    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
6003/2974    0.007    0.000    0.012    0.000 encoder.py:336(_iterencode_dict)
       41    0.007    0.000    0.007    0.000 {built-in method builtins.compile}
    12324    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
      407    0.006    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1621(find_spec)
  294/293    0.006    0.000    1.561    0.005 __init__.py:860(callit)
       56    0.006    0.000    0.006    0.000 {built-in method PIL._imaging.new}
     2136    0.006    0.000    0.010    0.000 enum.py:696(__call__)
       15    0.006    0.000    0.023    0.002 __init__.py:358(namedtuple)
       63    0.006    0.000    0.134    0.002 ImageTk.py:93(__init__)
       12    0.005    0.000    0.009    0.001 {built-in method _imp.exec_dynamic}
      205    0.005    0.000    0.086    0.000 appearance_mode_tracker.py:80(update)
      296    0.005    0.000    0.035    0.000 __init__.py:848(after)
     1264    0.005    0.000    0.030    0.000 __init__.py:1488(_bind)
      232    0.005    0.000    0.164    0.001 <frozen importlib._bootstrap_external>:1090(get_code)
  617/540    0.005    0.000    0.929    0.002 ctk_base_class.py:182(_update_dimensions_event)
      493    0.005    0.000    0.010    0.000 _local.py:257(_parse_path)
